,titles
318,"B105a. (RB, P. 2) Turn to Page 2 of the yellow booklet. Please circle the following numbers next to the reactions you just told me about. (READ NUMBERS NEXT TO ""YES"" RESPONSES FROM B103.) Which of these reactions were always caused by medications, drugs, or alcohol during your periods of anxiety or worry? Just tell me the numbers. (Any others?) (CHECK ALL MENTIONS.) 15 "
319,"B105a. (RB, P. 2) Turn to Page 2 of the yellow booklet. Please circle the following numbers next to the reactions you just told me about. (READ NUMBERS NEXT TO ""YES"" RESPONSES FROM B103.) Which of these reactions were always caused by medications, drugs, or alcohol during your periods of anxiety or worry? Just tell me the numbers. (Any others?) (CHECK ALL MENTIONS.) 16 "
320,"B105a. (RB, P. 2) Turn to Page 2 of the yellow booklet. Please circle the following numbers next to the reactions you just told me about. (READ NUMBERS NEXT TO ""YES"" RESPONSES FROM B103.) Which of these reactions were always caused by medications, drugs, or alcohol during your periods of anxiety or worry? Just tell me the numbers. (Any others?) (CHECK ALL MENTIONS.) 17 "
321,"B105a. (RB, P. 2) Turn to Page 2 of the yellow booklet. Please circle the following numbers next to the reactions you just told me about. (READ NUMBERS NEXT TO ""YES"" RESPONSES FROM B103.) Which of these reactions were always caused by medications, drugs, or alcohol during your periods of anxiety or worry? Just tell me the numbers. (Any others?) (CHECK ALL MENTIONS.) 18 "
322,"B105a. (RB, P. 2) Turn to Page 2 of the yellow booklet. Please circle the following numbers next to the reactions you just told me about. (READ NUMBERS NEXT TO ""YES"" RESPONSES FROM B103.) Which of these reactions were always caused by medications, drugs, or alcohol during your periods of anxiety or worry? Just tell me the numbers. (Any others?) (CHECK ALL MENTIONS.) 19 "
323,"B105a. (RB, P. 2) Turn to Page 2 of the yellow booklet. Please circle the following numbers next to the reactions you just told me about. (READ NUMBERS NEXT TO ""YES"" RESPONSES FROM B103.) Which of these reactions were always caused by medications, drugs, or alcohol during your periods of anxiety or worry? Just tell me the numbers. (Any others?) (CHECK ALL MENTIONS.) 20 "
324,"B105a. (RB, P. 2) Turn to Page 2 of the yellow booklet. Please circle the following numbers next to the reactions you just told me about. (READ NUMBERS NEXT TO ""YES"" RESPONSES FROM B103.) Which of these reactions were always caused by medications, drugs, or alcohol during your periods of anxiety or worry? Just tell me the numbers. (Any others?) (CHECK ALL MENTIONS.) 21 "
325,"B105a. (RB, P. 2) Turn to Page 2 of the yellow booklet. Please circle the following numbers next to the reactions you just told me about. (READ NUMBERS NEXT TO ""YES"" RESPONSES FROM B103.) Which of these reactions were always caused by medications, drugs, or alcohol during your periods of anxiety or worry? Just tell me the numbers. (Any others?) (CHECK ALL MENTIONS.) 22 "
326,"B105a. (RB, P. 2) Turn to Page 2 of the yellow booklet. Please circle the following numbers next to the reactions you just told me about. (READ NUMBERS NEXT TO ""YES"" RESPONSES FROM B103.) Which of these reactions were always caused by medications, drugs, or alcohol during your periods of anxiety or worry? Just tell me the numbers. (Any others?) (CHECK ALL MENTIONS.) 23 "
327,"B106. When was the first time a period of this sort started, when you were worried or anxious or afraid most of the time for at least six months and had some of these reactions like (READ FIRST 2 ""YES"" RESPONSES FROM B103)? Did this period start in the past six months, past year, or more than a year ago? "
328,B107. Can you remember what your exact age was? 
329,B107a. (How old were you?) B107b. About how old were you the first time a period of this sort started? (ACCEPT A RANGE RESPONSE.) Code YEARS OLD (01-55) 
330,B107c. What is the earliest age you can clearly remember having a period of worry or anxiety lasting six months or more? (ACCEPT A RANGE RESPONSE.) Code YEARS OLD (01-55) 
331,"B108. When was the last time you were in a period of this sort (when you were worried or anxious or afraid most of the time for at least six months and had some of these reactions--in the past month, past six months, past year, or more than a year ago)? "
332,B108a. How old were you the last time? Code YEARS OLD (01-55) 
333,"B109. Did you ever tell a doctor other than a psychiatrist about being worried or anxious? (Doctor includes medical doctors, osteopaths, and students in training to be medical doctors or osteopaths.) "
334,B109a. How old were you the first time (you told a doctor other than a psychiatrist about being worried or anxious)? Code YEARS OLD (01-55) 
335,B110. Did a doctor other than a psychiatrist ever prescribe medication for you because you were worried or anxious? 
336,B110a. How old were you the first time (a doctor other than a psychiatrist prescribed medication for you because you were worried or anxious)? Code YEARS OLD (01-55) 
337,"B111. Did a doctor other than a psychiatrist ever advise you to see a mental health specialist (someone like a psychiatrist, psychologist or social worker) about your worry or anxiety? "
338,B111a. How old were you the first time (a doctor other than a psychiatrist advised you to see a mental health specialist)? Code YEARS OLD (01-55) 
339,"B112. Did you ever see a mental health specialist about your worry or anxiety? (By mental health specialist we mean psychiatrists, psychologists, or social workers.) "
340,B112a. How old were you the first time (you saw a mental health specialist because you were worried or anxious)? Code YEARS OLD (01-55) 
341,"B113. Did you ever see any other professional about being worried or anxious? (Other professionals include nurses, rabbis, priests, ministers and counselors.) "
342,B113a. How old were you the first time (you saw any other professional because you were worried or anxious)? Code YEARS OLD (01-55) 
343,"B114. Did you ever take medication more than once because you were worried or anxious? DEFINITION: ""Medication"" refers to medicine obtained anywhere--over-the-counter, from a friend, prescribed by a doctor, obtained illegally, etc. "
344,B114a. How old were you the first time (you took medication more than once because you were worried or anxious)? Code YEARS OLD (01-55) 
345,"B115. How much did your worry or anxiety ever interfere with your life or activities--a lot, some, a little, or not at all? "
346,"B116. Did your worry or anxiety ever occur at times in your life when you were drinking alcohol or using drugs more than usual? DEFINITION: ""Drugs"" include prescription drugs used without a doctor's prescription or more than prescribed, as well as illegal drugs. "
347,B116a. Did the worry or anxiety always occur at times in your life when you were drinking or using drugs more than usual? 
348,"B116b. Which one would start first--the worry or anxiety, or the increase in drinking or drug use? "
349,B117. Did you ever drink more than usual or use drugs not prescribed by a doctor or in greater amounts than prescribed to help you feel better during your periods of worry or anxiety? 
350,B117a. Did this help you feel better? 
351,B118. INTERVIEWER CHECKPOINT 
352,B118a. INTERVIEWER QUERY 
353,"C1. You mentioned earlier that you had periods lasting two years or longer when you felt depressed or sad most days, even if you felt O.K. sometimes. During one of these two year periods of feeling depressed or sad most days... C1a. ...were you often in tears? "
354,"C1. You mentioned earlier that you had periods lasting two years or longer when you felt depressed or sad most days, even if you felt O.K. sometimes. During one of these two year periods of feeling depressed or sad most days... C1b. ...did you frequently feel hopeless? "
355,"C1. You mentioned earlier that you had periods lasting two years or longer when you felt depressed or sad most days, even if you felt O.K. sometimes. During one of these two year periods of feeling depressed or sad most days... C1c. ...did you often feel that you could not cope with your everyday life and responsibilities? "
356,"C1. You mentioned earlier that you had periods lasting two years or longer when you felt depressed or sad most days, even if you felt O.K. sometimes. During one of these two year periods of feeling depressed or sad most days... C1d. ...did you feel that your life had always been bad and was not going to get any better? "
357,C2. Can you remember your exact age the first time you had a period lasting two years or longer when you felt depressed or sad most days? 
358,C2a. How old were you when that period started? C2b. About how old were you the first time a period of this sort started? (ACCEPT A RANGE RESPONSE.) Code YEARS OLD (01-55) 
359,C2c. What is the earliest age you can clearly remember having a period of this sort? (ACCEPT A RANGE RESPONSE.) Code YEARS OLD (01-55) 
360,"C3. Since that time, has the depression been a fairly constant thing in your life or something that comes and goes? "
361,C3a. How long do the periods of depression usually last?--# Code # (01-95) 
362,C3a. TIME PERIOD 
363,C3b. How much time usually goes on between the end of one period of depression and the beginning of the next?--# Code # (01-95) 
364,C3b. TIME PERIOD 
365,"C4. When was the last time you were in a period of depression lasting two years or longer--in the past month, past six months, past year, or more than a year ago? "
366,C4a. How old were you the last time? Code YEARS OLD (01-55) 
367,"DEFINITION: ""Period of 2 weeks or more"" means most of the two-week period; interruptions of one or two days are okay if the total time is two weeks or more. D2. Has there ever been a period of 2 weeks or longer when you lost your appetite? (#1) "
368,"DEFINITION: ""Period of 2 weeks or more"" means most of the two-week period; interruptions of one or two days are okay if the total time is two weeks or more. D3. During any of these periods did you completely lose your appetite? (#2) "
369,"D4. Have you ever lost weight without trying to, as much as 2 pounds a week for several weeks or as much as 10 pounds altogether? (#3) "
370,"D5. During any of these periods, how much weight did you lose? Code # POUNDS (01-95) "
371,"D6. Has there ever been at least 2 weeks when you had an increase in appetite, other than when you were growing (or pregnant)? (#4) "
372,D7. Have you ever had a period when your eating increased so much that you gained as much as 2 pounds a week for several weeks or 10 pounds altogether? (#5) 
373,D8. What is the most you ever gained in one of these periods? Code # POUNDS (01-95) CATEGORY #4 
374,D9. Have you ever had 2 weeks or more when nearly every night you had trouble falling asleep? (#6) 
375,D10. Have you ever had 2 weeks or more when nearly every night it took you at least 2 hours to fall asleep? (#7) 
376,D11. Have you ever had 2 weeks or more when nearly every night you had trouble staying asleep? (#8) 
377,D12. Did you ever have 2 weeks or more when nearly every night you lay awake more than one hour? (#9) 
378,D13. Have you ever had 2 weeks or more when nearly every morning you woke up too early? (#10) 
379,D14. Have you ever had 2 weeks or more when nearly every morning you would wake up at least 2 hours before you wanted to? (#11) 
380,D15. Have you ever had 2 weeks or longer when nearly every day you were sleeping too much? (#12) CATEGORY #5 
381,D16. Has there ever been a period lasting 2 weeks or more when you lacked energy or felt tired out all the time even when you had not been working very hard? (#13) 
382,D17. Have you ever been completely without energy for 2 weeks or more? (#14) 
383,"D18. Did you ever have 2 weeks or more when you felt very bad when you got up, but felt better later in the day? (#15) CATEGORY #6 "
384,D19. Has there ever been 2 weeks or more when nearly every day you talked or moved more slowly than is normal for you? (#16) 
385,D20. During (this/one of these) period(s) did anyone else notice that you were talking or moving more slowly? (#17) 
386,"D21. Has there ever been 2 weeks or more when nearly every day you had to be moving all the time, that is, you could not sit still and paced up and down? (#18) CATEGORY #7 "
387,"D22. SEE REFERENCE CARD, ""SCREENERS"" B5 INTERVIEWER: ENTER ""YES"" OR ""NO"" RESPONSE FROM ""SCREENERS"" B5 HERE (#19) "
388,"D23. SEE REFERENCE CARD, ""SCREENERS"" B5a INTERVIEWER: ENTER ""YES"" OR ""NO"" RESPONSE FROM B5a HERE (#20) "
389,"D24. Have you ever had 2 weeks or longer when you lost the ability to enjoy having good things happen to you, like winning something or being praised or complimented? (#21) "
390,D25. Has there ever been a period of several weeks when your interest in sex was a lot less than usual? (#22) 
391,D26. Did you ever completely lose your interest in sex? (#23) CATEGORY #8 
392,D27. Has there ever been 2 weeks or more when nearly every day you felt worthless? (#24) 
393,D28. Did you ever feel completely worthless for a week or more? (#25) 
394,D29. Has there ever been 2 weeks or more when nearly every day you felt sinful? (#26) 
395,D30. Has there ever been 2 weeks or more when nearly every day you felt guilty? (#27) 
396,D31. Has there ever been a period of two weeks or longer when you felt that you were not as good as other people or inferior? (#28) 
397,D32. Has there ever been a period of two weeks or longer when you had so little self-confidence that you would not try to have your say about anything? (#29) 
398,D33. Did you ever have a period of 2 weeks or more when you entirely lost your self-confidence? (#30) 
399,D34. Has there ever been 2 weeks or more when nearly every day you had a lot more trouble concentrating than is normal for you? (#31) 
400,"D35. Has there ever been 2 weeks or more when you were unable to read things that usually interest you or watch television or movies you usually like, because you could not pay attention to them? (#32) "
401,D36. Have you ever had 2 weeks or more when nearly every day your thoughts came much slower than usual or seemed mixed up? (#33) 
402,D37. Have you ever had 2 weeks or more when nearly every day you were unable to make up your mind about things you ordinarily have no trouble deciding about? (#34) 
403,D38. Has there ever been a period when you were completely unable to make up your mind about things you ordinarily have no trouble deciding about? (#35) 
404,D39. INTERVIEWER CHECKPOINT 
405,D40. INTERVIEWER CHECKPOINT CARD 
406,[BUILT VAR for use in consistency checking] CATEGORY #10 
407,"D41. Has there ever been a period of 2 weeks or more when you thought a lot about death, either your own, someone else's, or death in general? (#36) "
408,D42. Has there ever been a period of 2 weeks or more when you felt like you wanted to die? (#37) 
409,D43. Have you ever felt so low you thought about committing suicide? (#38) 
410,D44. Have you ever attempted suicide? (#39) 
411,D45. INTERVIEWER CHECKPOINT 0 in Scr 12-15 2. ALL OTHERS 
412,[BUILT VAR for use in consistency checking] 
413,D46. INTERVIEWER CHECKPOINT 
414,"D46a. INTERVIEWER CHECKPOINT 1. INTERVIEWER: CHECK ""KEY PHRASE ONE"", OPTION ""A"" ON REF. CARD, AND USE ""SAD, BLUE OR NO INTEREST IN THINGS"" 2. INTERVIEWER: CHECK ""KEY PHRASE ONE"", OPTION ""B"" ON REF. CARD, AND USE ""SAD AND BLUE"" "
415,"D46b. INTERVIEWER CHECKPOINT INTERVIEWER: CHECK ""KEY PHRASE ONE"", OPTION ""E"" ON REF. CARD, AND USE ""NO INTEREST IN THINGS "
416,"D46c. INTERVIEWER CHECKPOINT 1. INTERVIEWER: CHECK ""KEY PHRASE ONE"", OPTION ""C"" ON REF. CARD, AND USE ""DOWN IN THE DUMPS OR NO INTEREST IN THINGS"" 2. INTERVIEWER: CHECK ""KEY PHRASE ONE"", OPTION ""D"" ON REF. CARD, AND USE ""DOWN IN THE DUMPS"" "
417,"D47. (RB, STILL ON P. 3) You said you had a period in your life when you felt (KEY PHRASE ONE) and also said you have had the other problems you just circled. Has there ever been a time when the period(s) of feeling (KEY PHRASE ONE) and some of these other problems circled on Page 3 occurred together--that is, within the same month? "
418,"D47a. Let me make sure I am clear about this. There has never been a period when you felt (KEY PHRASE ONE) at the same time you were having some of these other problems on Page 3 occurred together--that is, within the same month? "
419,"D48. Did you ever tell a doctor other than a psychiatrist about your period(s) of feeling (KEY PHRASE ONE) and having some of these other problems circled on Page 3? (Doctor includes medical doctors, osteopaths, and students in training to be medical doctors or osteopaths.) DEFINITION: ""Tell a doctor"" means you contacted a doctor directly by telephone or in person. "
420,D48a. How old were you the first time [you told a doctor other than a psychiatrist about your period(s) of feeling (KEY PHRASE ONE)]? Code YEARS OLD (01-55) 
421,"D49. Did a doctor other than a psychiatrist ever prescribe medication for you because of your period(s) of feeling (KEY PHRASE ONE)? DEFINITION: ""Prescribe"" means a doctor's prescription needs to be handed to a pharmacist to obtain the medication. "
422,D49a. How old were you the first time [a doctor other than a psychiatrist prescribed medication for you because of your period(s) of feeling (KEY PHRASE ONE)]? Code YEARS OLD (01-55) 
423,"D50. Did a doctor other than a psychiatrist ever advise you to see a mental health specialist (someone like a psychiatrist, psychologist or social worker) about your period(s) of feeling (KEY PHRASE ONE)? "
424,D50a. How old were you the first time (a doctor other than a psychiatrist advised you to see a mental health specialist)? Code YEARS OLD (01-55) 
425,"D51. Did you ever see a mental health specialist about your period(s) of feeling (KEY PHRASE ONE)? (By mental health specialist we mean psychiatrists, psychologists, or social workers.) "
426,D51a. How old were you the first time [you saw a mental health specialist about your period(s) of feeling (KEY PHRASE ONE)]? Code YEARS OLD (01-55) 
427,"D52. Did you ever see any other professional about your period(s) of feeling (KEY PHRASE ONE)? (Other professionals include nurses, rabbis, priests, ministers, and counselors.) "
428,D52a. How old were you the first time [you saw any other professional because of your period(s) of feeling (KEY PHRASE ONE)]? Code YEARS OLD (01-55) 
429,"D53. Did you ever take medication more than once because of your period(s) of feeling (KEY PHRASE ONE)? DEFINITION: ""Medication"" refers to medicine obtained anywhere--over-the-counter, from a friend, prescribed by a doctor, obtained illegally, etc. "
430,D53a. How old were you the first time [you took medication more than once because of your period(s) of feeling (KEY PHRASE ONE)]? Code YEARS OLD (01-55) 
431,"D54. How much did your period(s) of feeling (KEY PHRASE ONE) ever interfere with your life or activities--a lot, some, a little, or not at all? "
432,D55. Was any period of feeling (KEY PHRASE ONE) so bad that it kept you from working or from seeing friends or relatives? 
433,D56. Were you ever hospitalized for your period(s) of feeling (KEY PHRASE ONE)? 
434,D56a. How old were you the first time? Code YEARS OLD (01-55) 
435,D57. INTERVIEWER CHECKPOINT Scrns 13-15 
436,"D58. (RB, STILL ON P. 3) In your lifetime, how many periods have you had that lasted two weeks or more when you felt (KEY PHRASE ONE) and also had some of the other problems circled on Page 3? Code NUMBER (00-95) "
437,"D59. When did that period start--in the past month, past six months, past year, or more than a year ago? "
438,D60. Can you remember your exact age when this period started? 
439,D60a. (How old were you?) D60b. About how old were you (when this period started)? (ACCEPT A RANGE RESPONSE.) Code YEARS OLD (01-55) 
440,D61. Did that period of feeling (KEY PHRASE ONE) occur just after someone close to you died? 
441,D61a. Was there anything else going on in your life at that time which might have caused you to feel (KEY PHRASE ONE)? 
442,"D62. (RB, STILL ON P. 3) Has that period of feeling (KEY PHRASE ONE) and having some of the other problems circled on Page 3 ended or is it still going on? "
443,"D62a. When did it end (in the past month, past six months, past year, or more than a year ago)? "
444,D62b. Can you remember your exact age when it ended? 
445,D62c. (How old were you?) D62d. About how old were you (when this period ended)? Code YEARS OLD (01-55) 
446,D63. How long did this period last (before it ended/so far)?--# Code # (01-95) 
447,D63. TIME PERIOD MORE THAN ONE PERIOD OF DEPRESSION IN LIFETIME 
448,"D64. (RB, STILL ON P. 3) When was the first time you had a period of two weeks or more when you had some of these problems circled on Page 3 and also felt (KEY PHRASE ONE) --in the past month, past six months, past year, or more than a year ago? "
449,D65. Can you remember your exact age the first time you had a period of two weeks or more when you had some of these problems circled on Page 3 and also felt (KEY PHRASE ONE)? 
450,D65a. (How old were you?) D65b. About how old were you (the first time you had a period of this sort lasting two weeks or more)? (ACCEPT A RANGE RESPONSE) Code YEARS OLD (01-55) in 1236 
451,D65c. What is the earliest age you can clearly remember having a period of this sort lasting two weeks or more? (ACCEPT A RANGE RESPONSE) Code YEARS OLD (01-55) 
452,"D66. (RB, STILL ON P. 3) When was the last time you had a period of two weeks or more when you had some of these problems circled on Page 3 and also felt (KEY PHRASE ONE)--in the past month, past six months, past year, or more than a year ago? "
453,D66a. How old were you the last time (you had a period of this sort)? Code YEARS OLD (01-55) 
454,D67. How many periods of feeling (KEY PHRASE ONE) lasting two weeks or longer have you had in the past 12 months? Code NUMBER (01-95) 
455,D67a. In what month and year did this period start?--MONTH Code MONTH (01-12) 
456,D67a. In what month and year did this period start?--YEAR Code last 2 digits of YEAR (01-92) 
457,D67b. Has this period of feeling (KEY PHRASE ONE) ended or is it still going on? 
458,D67c. How long did this period last (so far)?--# Code # (01-95) 
459,D67c. How long did this period last (so far)?--TIME PERIOD 
460,D67d. In what month and year did the first of these (NUMBER FROM D67) periods start?--MONTH Code MONTH (01-12) 
461,D67d. In what month and year did the first of these (NUMBER FROM D67) periods start?--YEAR Code last 2 digits of YEAR (01-92) 
462,D67e. How long did this first period of feeling (KEY PHRASE ONE) last?--# Code # (01-95) 
463,D67e. How long did this first period of feeling (KEY PHRASE ONE) last?--TIME PERIOD 
464,D69. You have had (NUMBER FROM D58) periods of feeling (KEY PHRASE ONE) in your lifetime. Between (any of) these periods were you feeling O.K. at least for some months? 
465,D69a. Between (any of) these periods were you fully able to work and enjoy being with other people? 
466,"D69b. Did that ""normal"" period ever last at least 6 months? "
467,D69c. Did it ever last at least 2 months? 
468,D70. Did any of these periods of feeling (KEY PHRASE ONE) occur just after someone close to you died? 
469,"D70a. (RB, STILL ON P. 3) Did you ever have a period of feeling (KEY PHRASE ONE) along with some of these other problems circled on Page 3 at times when it was not just after a death? "
470,D71. What about your most recent period of feeling (KEY PHRASE ONE)? Was that due to someone close to you dying? 
471,D72. Did most of your periods of feeling (KEY PHRASE ONE) begin in the same month or the same time of year? 
472,"D72a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS SEASON, PROBE: What months would that be?) JANUARY "
473,"D72a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS SEASON, PROBE: What months would that be?) FEBRUARY "
474,"D72a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS SEASON, PROBE: What months would that be?) MARCH "
475,"D72a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS SEASON, PROBE: What months would that be?) APRIL "
476,"D72a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS SEASON, PROBE: What months would that be?) MAY "
477,"D72a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS SEASON, PROBE: What months would that be?) JUNE "
478,"D72a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS SEASON, PROBE: What months would that be?) JULY "
479,"D72a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS SEASON, PROBE: What months would that be?) AUGUST "
480,"D72a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS SEASON, PROBE: What months would that be?) SEPTEMBER "
481,"D72a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS SEASON, PROBE: What months would that be?) OCTOBER "
482,"D72a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS SEASON, PROBE: What months would that be?) NOVEMBER "
483,"D72a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS SEASON, PROBE: What months would that be?) DECEMBER "
484,D72b. About how many of your (NUMBER FROM D58) periods of feeling (KEY PHRASE ONE) began in (TIME FROM D72a)? (ACCEPT NUMBER OR PERCENT)--# OF PERIODS Code # OF PERIODS (01-95) 
485,D72b. About how many of your (NUMBER FROM D68) periods of feeling (KEY PHRASE ONE) began in (TIME FROM D72a)? (ACCEPT NUMBER OR PERCENT)--% OF PERIODS Code % OF PERIODS (001-100) 
486,D72c. Did you ever have two years in a row when a period of feeling (KEY PHRASE ONE) started in (TIME FROM D72a)? 
487,D73. Did most of these periods end in the same month or the same time of year? 
488,"D73a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS A SEASON, PROBE: What months would that be?) FEBRUARY "
489,"D73a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS A SEASON, PROBE: What months would that be?) MARCH "
490,"D73a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS A SEASON, PROBE: What months would that be?) APRIL "
491,"D73a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS A SEASON, PROBE: What months would that be?) MAY "
492,"D73a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS A SEASON, PROBE: What months would that be?) JUNE "
493,"D73a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS A SEASON, PROBE: What months would that be?) JULY "
494,"D73a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS A SEASON, PROBE: What months would that be?) AUGUST "
495,"D73a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS A SEASON, PROBE: What months would that be?) SEPTEMBER "
496,"D73a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS A SEASON, PROBE: What months would that be?) OCTOBER "
497,"D73a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS A SEASON, PROBE: What months would that be?) NOVEMBER "
498,"D73a. (In what months?) (ACCEPT MONTH OR RANGE OF MONTHS, NOT SEASON. IF R MENTIONS A SEASON, PROBE: What months would that be?) DECEMBER "
499,D73b. About how many of the periods of feeling (KEY PHRASE ONE) began in (TIME FROM D72a) ended in (TIME FROM D73a)? (ACCEPT NUMBER OR PERCENT)--# OF PERIODS Code # OF PERIODS (01-95) 
500,D73b. About how many of the periods of feeling (KEY PHRASE ONE) began in (TIME FROM D72a) ended in (TIME FROM D73a)? (ACCEPT NUMBER OR PERCENT)--% OF PERIODS Code % OF PERIODS (001-100) 
501,"D73c. When you came out of these periods of feeling (KEY PHRASE ONE) in (TIME FROM D73a), were your mood and energy back to normal or were they much better than normal? "
502,"D74. (RB, STILL ON P. 3) What is the longest period you ever had when you felt (KEY PHRASE ONE) and had several of these other problems circled on Page 3 at the same time? --# Code # (01-95) "
503,D74. TIME PERIOD 
504,D75. INTERVIEWER CHECKPOINT 
505,"D76. (RB, STILL ON P. 3) Can you remember your exact age the first time you had two years or more when you felt (KEY PHRASE ONE) and had some of the problems circled on Page 3 at the same time? "
506,D76a. How old were you when that period started? D76b. About how old were you the first time a period of this sort started? (ACCEPT A RANGE RESPONSE.) Code YEARS OLD (01-55) 
507,D76c. What is the earliest age you can clearly remember having a period of this sort? (ACCEPT A RANGE RESPONSE.) Code YEARS OLD (01-55) 
508,"D77. (RB, STILL ON P. 3) What about the last time you had two years or more when you felt (KEY PHRASE ONE) and had some of these other problems circled on Page 3. Was this going on in the past month, past six months, past year, or more than a year ago? "
509,"D77a. How old were you the last time (you had a period of this sort lasting two years or longer)? Code YEARS OLD (01-55) 1 or 3 in 1342; 1-3, 8-9 in 1346 "
510,"D78. (RB, STILL ON P. 3) How old were you when you felt (KEY PHRASE ONE) for at least two weeks and had the largest number of these other problems circled on Page 3 at the same time? "
511,D79. Can you think of a particularly bad one? 
512,D79a. (How old were you when that period occurred?) D79b. Then think of your most recent period. How old were you (when it occurred)? Code YEARS OLD (01-55) 
513,D80. Was there anything going on in your life at that time which caused you to feel (KEY PHRASE ONE)? 
514,"D81a/D81b. (RB, STILL ON P. 3) Now, take your time to carefully review the list of problems you circled on Page 3, and tell me the numbers of all the problems you had during that period of feeling (KEY PHRASE ONE) when you were (AGE FROM 81). (PROBE: Any others?) (CHECK ALL MENTIONS.) CATEGORY #3: Problem 01 "
515,"D81a/D81b. (RB, STILL ON P. 3) Now, take your time to carefully review the list of problems you circled on Page 3, and tell me the numbers of all the problems you had during that period of feeling (KEY PHRASE ONE) when you were (AGE FROM 81). (PROBE: Any others?) (CHECK ALL MENTIONS.) CATEGORY #3: Problem 02 "
516,"D81a/D81b. (RB, STILL ON P. 3) Now, take your time to carefully review the list of problems you circled on Page 3, and tell me the numbers of all the problems you had during that period of feeling (KEY PHRASE ONE) when you were (AGE FROM 81). (PROBE: Any others?) (CHECK ALL MENTIONS.) CATEGORY #3: Problem 03 "
517,"D81a/D81b. (RB, STILL ON P. 3) Now, take your time to carefully review the list of problems you circled on Page 3, and tell me the numbers of all the problems you had during that period of feeling (KEY PHRASE ONE) when you were (AGE FROM 81). (PROBE: Any others?) (CHECK ALL MENTIONS.) CATEGORY #3: Problem 04 "
518,"D81a/D81b. (RB, STILL ON P. 3) Now, take your time to carefully review the list of problems you circled on Page 3, and tell me the numbers of all the problems you had during that period of feeling (KEY PHRASE ONE) when you were (AGE FROM 81). (PROBE: Any others?) (CHECK ALL MENTIONS.) CATEGORY #3: Problem 05 "
519,"D81a/D81b. (RB, STILL ON P. 3) Now, take your time to carefully review the list of problems you circled on Page 3, and tell me the numbers of all the problems you had during that period of feeling (KEY PHRASE ONE) when you were (AGE FROM 81). (PROBE: Any others?) (CHECK ALL MENTIONS.) CATEGORY #4: Problem 06 "
520,"D81a/D81b. (RB, STILL ON P. 3) Now, take your time to carefully review the list of problems you circled on Page 3, and tell me the numbers of all the problems you had during that period of feeling (KEY PHRASE ONE) when you were (AGE FROM 81). (PROBE: Any others?) (CHECK ALL MENTIONS.) CATEGORY #4: Problem 07 "
521,"D81a/D81b. (RB, STILL ON P. 3) Now, take your time to carefully review the list of problems you circled on Page 3, and tell me the numbers of all the problems you had during that period of feeling (KEY PHRASE ONE) when you were (AGE FROM 81). (PROBE: Any others?) (CHECK ALL MENTIONS.) CATEGORY #4: Problem 08 "
522,"D81a/D81b. (RB, STILL ON P. 3) Now, take your time to carefully review the list of problems you circled on Page 3, and tell me the numbers of all the problems you had during that period of feeling (KEY PHRASE ONE) when you were (AGE FROM 81). (PROBE: Any others?) (CHECK ALL MENTIONS.) CATEGORY #4: Problem 09 "
